login_id,total_stargazers_count
haozeng,2
Boyquotes,11
superisaac,53
qingshen0802,36
thadd,55
quinn,28
davidself,0
samueldr,50
tmm1,598
brentmc79,16
Lisprez,16
batermj,2
yikaraman,1
ysorigin,5
cselmer,0
adambair,121
csjaba,17
wolfflow,7
shanx,14
mlynch,46
robbyrob42,0
freemanZYQ,0
grantmichaels,1
jameskyokushin,35
wemeetagain,76
fmu,0
oggata,22
rmarquis,1
joachifm,78
STRd6,85
EmpeRoar,1
dustinwhittle,0
winfield,17
erinata,213
hnchuong,2
rain1024,13
msakazo,0
raudelenrique,0
vrnithinkumar,1
sctv,0
buffer8848,14
roy,17
adamstac,385
Zer0Root,0
jhaynie,36
silentrob,539
ypersyntelykos,16
luke0x,110
alexindigo,92
jserv,1817
drybeans,1
uokesita,17
mattn,1419
VinayMavani,1
mohitmun,9
kumavis,19
coty,12
zhanknight,0
shovon,29
twopack,2
aviraldg,12
raecoo,51
ajsb85,101
GabiThume,99
eugeneware,196
shmangles,4
rajeshvv,1
ahmetabdi,63
biomunky,10
xavi,373
mortdeus,18
uira,5
Sleepyhead-google,1
Neustradamus,35
sorrycc,35875
karsthammer,47
blanu,343
gcollazo,700
VagrantStory,34
aparo,378
rikonor,40
DoktahWorm,22
orlin,18
hieple7985,5
jaybny,7
so,0
RobinWu,21
MnkyPwz,9
nathan-gs,22
davesag,52
rfilipo,6
rayvinly,93
cnd,5
Wijnand,9
shamio,1
fastcoinproject,33
grisaitis,8
vladanghene,3
isakib,1
Bunlong,28
dgonzalez,14
bkerley,58
zhenglu0,76
brupm,16
brianmario,4053
morganrallen,35
dehora,43
carlitos,2
eston,52
macressler,37
olleolleolle,7
membogg,2
andreypopp,1626
rajanand,4
diclophis,23
onemouth,21
y0sher,1
victor-vargas2009,1
jb55,74
kanzure,55
Voidious,70
jkatzer,11
sajoku,7
Frenchcooc,16
kinkin10,0
kiwifig,3
miguelmota,179
dcreager,85
mashiox,23
pmq20,12
fly51fly,1570
chillicoder,10
kirillsalykin,4
bishopZ,180
xiaods,43
domenicosolazzo,3
suenot,115
esin,519
massie,39
ericabouaf,403
alexeykudinkin,6
mikegwhit,9
codeodor,13
hehead,4
cashplk,0
mschmulen,23
pshc,41
josephhabib,1
alexanderdean,101
vizanto,4
miamiartexchange,6
lmatteis,428
dendisuhubdy,16
cusspvz,313
michielbdejong,16
tigefa4u,5
esneider,362
influx6,25
martinheidegger,29
peterpunk,0
gijzelaerr,5
forresto,156
terlar,106
jiahao,111
watcherdm,25
lcampos,24
Chelo,4
ales9000,1
gnashe,0
hemantasapkota,447
jubishop,17
linkerlin,150
davidpots,73
scifisamurai,6
gregdek,1
cmavromoustakos,13
davidrobles,23
jpzk,60
KevinHock,118
hmcfletch,55
betacar,4
anandkunal,1221
