login_id,repo_count,follower_count,member_since
majorgreys,45,41,2009-11-19
tel,195,212,2008-02-27
andresdouglas,33,21,2009-04-10
tosh,73,273,2008-06-24
RichAyotte,29,36,2010-06-03
vilmibm,105,534,2009-06-24
215eight,9,3,2013-02-19
ddjjj,0,0,2013-12-11
oggata,162,46,2012-01-20
beenhero,25,191,2008-04-22
thiagozs,149,96,2009-10-16
endymion,97,26,2009-02-06
lidaobing,119,619,2008-10-04
matteobertozzi,23,65,2008-12-04
ivanoats,359,291,2008-04-03
guilleiguaran,258,623,2009-12-02
glhewett,30,18,2008-04-18
jmalonzo,67,84,2008-06-01
jm,132,509,2008-01-29
jacques,386,91,2008-03-07
nabn,27,37,2012-04-30
aachokey,21,41,2013-05-27
tomlion,46,162,2008-04-19
sidorares,163,788,2009-12-28
codingscode,171,1306,2019-05-05
MafujShikder,23,1517,2017-12-14
gaocegege,397,2381,2013-07-27
laxman954,69,9,2013-03-13
tomz,132,111,2008-11-01
osteotek,23,22,2011-03-04
robbassi,27,12,2010-02-04
mlynch,122,1314,2008-05-22
amijkko,28,11,2015-04-14
jefftrudeau,9,8,2010-11-19
AdiChat,20,3218,2015-01-21
csjaba,53,853,2012-09-22
nwoods2019,0,10,2019-03-06
miamiartexchange,2,6,2008-10-25
KokaKiwi,203,151,2010-01-15
nateirwin,11,78,2008-05-15
JurandyBitConnect,3,10,2012-06-20
0-vortex,114,201,2010-04-05
opengineer,22,3043,2017-10-16
erdos,66,210,2013-09-27
garrisonreid,10,4,2014-07-17
hellojwilde,49,44,2009-01-05
karlsnyder0,6,5,2011-02-25
Asmae-salhi,4,1,2020-04-02
asoltys,204,150,2008-04-16
ajsb85,438,925,2011-03-11
lancetw,257,176,2009-03-10
raecoo,20,98,2008-04-04
m1kal,24,0,2016-11-26
kantmakm,19,6,2011-06-06
wouterdebres,3,6,2008-05-19
doitian,191,324,2008-11-21
erravimishracse,22,356,2016-07-13
MintThitiratChamnan,14,26,2021-08-01
sco,32,514,2008-02-16
ssdavenport,14,9,2011-05-27
ryanking,35,247,2008-04-07
crazycode,212,67,2008-06-22
xaviarias,16,58,2011-06-26
jondo89,10,242,2012-11-26
pereferrera,19,47,2010-04-27
yong,17,52,2008-04-08
jessuppi,13,426,2016-02-29
luke0x,27,93,2008-02-26
justinshenk,78,271,2014-12-22
datapimp,78,102,2008-12-28
gabrielpconceicao,24,1878,2013-07-31
bbss,45,35,2012-11-09
shovon,169,159,2010-05-23
fortune,11,6,2009-01-06
andresmasegosa,12,70,2010-11-25
atsiarenia,2,14,2013-10-21
andy-williams,46,40,2010-04-11
honnung,2,1,2011-02-22
zhchang,20,18,2012-03-12
codeodor,108,37,2008-09-06
latrokles,24,57,2008-11-18
isakib,244,7,2010-11-11
allangrant,15,35,2009-03-12
timothyklim,229,174,2010-09-04
greysun,103,38,2010-05-15
lumberjackchef,8,15,2014-05-23
iamhabitat,24,8,2010-09-16
dejan,19,148,2008-04-03
jonathannelson,2,51,2008-03-21
singerdmx,15,446,2009-09-03
Linux-Player,2,1202,2016-10-10
lmatteis,79,190,2010-12-24
saberma,37,675,2008-06-26
tigefa4u,265,456,2012-03-02
esneider,47,145,2011-03-13
BrianGator,0,5,2011-01-14
cburgdorf,133,413,2010-12-13
dehora,46,85,2008-04-06
daaku,166,481,2008-02-21
SourceBoy,6,3,2011-05-16
mehdimays,57,18,2011-05-15
albertogg,47,90,2010-10-24
bcurren,33,39,2008-04-27
mbautin,144,1328,2011-01-08
seanahrens,18,15,2009-07-29
jaybny,25,15,2011-05-09
pablogarriga,32,6,2017-09-04
jubishop,40,56,2008-06-10
yuanwencong,4,10,2011-03-18
JSansalone,8,281,2012-06-08
ales9000,6,21,2013-02-06
martinheidegger,385,317,2011-07-14
forresto,108,192,2010-09-11
mstraughan86,27,5887,2015-09-12
shamio,2,664,2012-03-11
peteonrails,67,83,2008-05-07
fling,4,26,2008-05-05
gdeglin,26,56,2008-04-04
jjuarez,126,52,2009-01-20
skyfallsin,20,70,2008-02-26
bobomurod,89,119,2013-01-31
hlb,40,227,2008-04-03
hugoerg56,31,20,2010-05-21
cmavromoustakos,23,32,2009-08-03
steffanjensen,107,411,2015-07-18
janfilips,14,54,2011-06-23
dennispi,7,9,2010-09-03
chrisketchel,0,1,2015-12-16
broccolini,43,1963,2010-07-17
manjotkhangura,2,0,2014-01-11
jonbaer,293,167,2008-06-10
edgar,129,52,2008-09-12
lrettig,86,219,2013-01-19
akashaku,7,0,2013-04-09
Juiceman,22,4,2009-04-26
Siim,40,52,2009-01-05
davidkuchar,26,28,2010-11-30
ayeminag,28,27,2012-10-30
massie,39,120,2008-08-04
suenot,311,83,2012-02-10
artob,36,447,2008-04-04
xiaods,209,385,2008-12-02
miamiruby,130,59,2008-10-16
michaelkoper,38,23,2009-05-17
vlordier,33,375,2013-09-12
jaredhanson,408,3423,2008-05-15
bumi,172,396,2008-02-16
benwbrum,27,86,2010-02-09
NoreplyGao,4,11,2017-05-06
rodrigooler,204,1225,2013-09-19
thezedwards,497,570,2016-12-12
ChunMengLu,13,136,2012-08-08
viralpandya,14,15,2012-07-26
kalamaznik,16,210,2013-04-15
liangwenke,37,31,2008-09-04
MattMcFarland,139,244,2011-02-17
sajoku,99,17,2010-09-07
KaterinaToy,0,19,2020-02-08
rcullito,67,43,2011-07-12
TroyDWhite,10,7,2013-02-10
johndpope,8085,664,2010-05-28
AlexxNica,6666,781,2015-09-17
herestomwiththeweather,47,58,2008-07-07
ssleptsov,29,100,2011-12-03
y0sher,20,26,2012-10-19
vespakoen,186,106,2011-06-26
chipski,18,25,2008-03-04
b3bakyt,16,3,2012-02-23
suriyaa,54,961,2013-07-23
gnashe,2,32,2012-08-30
gcollazo,89,420,2009-03-07
jiahao,142,588,2008-02-29
terlar,101,111,2010-05-18
krisjin,122,132,2012-10-19
fastcoinproject,6,30,2013-05-28
allanfreitas,239,59,2010-06-13
yyeexxhhh,10,17,2013-08-20
EvanMisshula,193,98,2010-06-09
mogox,28,42,2011-07-19
CubeSpawn,8,108,2009-12-07
freewil,127,101,2011-04-08
rayvinly,11,313,2008-03-26
hehead,1,641,2013-05-12
zhenglu0,37,699,2013-10-07
ankitshah009,1467,145,2013-02-09
yenda,70,49,2011-11-08
stevemclaugh,28,28,2016-07-26
thomd,105,26,2008-03-18
brianckeegan,31,141,2011-12-10
mattorb,39,44,2009-03-09
brajadorable,11,47,2011-05-10
lezasantaizi,35,25,2014-06-13
tualatrix,102,1410,2008-11-21
carlitos,27,82,2009-03-25
gongfuPanada,1605,14,2009-08-29
ttriche,177,176,2008-04-02
poshboytl,96,630,2008-04-09
botsbrain,10,142,2010-06-01
wedtm,43,27,2008-11-04
iamgilwell,33,98,2014-02-22
obfuscat3d,1,11,2011-10-10
canvaspixels,37,29,2012-01-19
taoeffect,68,249,2009-10-12
bluet,66,151,2009-02-02
SummerCHINA,1,1,2013-11-14
jake100,57,1815,2013-10-28
benjaminmbrown,130,43,2012-10-11
rajanand,31,46,2011-08-27
jlisbz,82,21,2008-06-11
archan937,66,82,2009-02-08
rickbeerendonk,74,81,2010-11-12
christianrojas,11,36,2009-06-04
onemouth,18,26,2012-02-04
thejeshgn,299,686,2009-04-21
willywg,41,47,2009-01-01
kroitor,40,2643,2011-12-30
gavinuhma,28,147,2010-09-17
audy,184,331,2009-08-16
kaichen,52,383,2008-03-28
franklsm1,37,6,2015-09-15
Voidious,4,17,2012-07-25
slpsys,29,21,2009-03-11
kinkin10,2,0,2015-09-15
iorch,38,47,2011-07-11
caingougou,6,28,2008-09-27
ronenhamias,47,1589,2012-05-04
sai43,202,18,2013-05-31
ask,86,1896,2008-02-28
bbigras,171,36,2008-09-10
pennyone00,0,2,2015-10-29
fly51fly,11,3466,2009-09-19
chrisobdam,4,6,2011-02-24
rchk,9,34,2008-05-16
onsails,165,194,2009-07-21
marothstein,41,49,2010-10-12
javadabadoo,21,30,2011-05-05
dcreager,89,231,2008-04-15
jcfischer,72,54,2008-03-14
voodootikigod,125,662,2008-02-19
flipsasser,18,86,2008-04-26
almartin82,72,81,2011-05-11
nckx,37,18,2010-08-14
leereilly,402,1733,2009-08-31
lgs,1076,146,2008-02-28
danielirimia,27,17,2015-04-01
kenneth,121,84,2008-11-08
domenicosolazzo,426,207,2010-09-03
j15e,62,80,2009-10-22
dejanr,43,56,2008-07-26
kij,10,15,2008-04-08
karad,55,138,2010-02-08
samueldr,110,152,2009-09-29
plumenator,83,78,2009-07-11
ChrisMoney,0,26,2012-01-15
watson,388,1723,2008-05-17
kinimodmeyer,3,14,2013-02-26
h4ck3rm1k3,1247,563,2008-11-17
toxtli,1150,2113,2012-01-02
iNDicat0r,10,34,2015-06-30
wolfflow,67,56,2010-08-20
igrigorik,75,8405,2008-05-18
throughnothing,152,122,2009-03-09
kjaylee,169,40,2010-05-04
ysorigin,7,29,2008-05-08
x2c3z4,29,98,2011-07-24
jevon,2,41,2008-04-02
JaniAnttonen,50,104,2010-11-29
springnet,3,4,2008-06-14
baron,24,42,2008-03-09
Ryanfahiramaulana,0,3,2011-11-29
adampatterson,49,56,2008-10-28
raisty,31,72,2010-12-27
helloworld-cat,33,38,2012-01-22
adambair,61,112,2008-02-26
EmpeRoar,246,31,2010-06-30
rain1024,158,281,2012-05-26
hnchuong,3,6,2008-04-13
winfield,13,41,2008-04-12
travisbrady,58,94,2008-12-04
joachifm,29,47,2008-12-21
rmarquis,178,114,2009-12-05
abhiyerra,129,62,2008-04-11
dlwh,47,295,2008-05-07
carld,130,120,2009-07-14
dplewis,120,1748,2014-11-18
EricAtMSFT,4,9,2016-02-19
bobpoekert,97,85,2009-01-10
adamstac,103,734,2008-03-12
johnbey,2,0,2013-12-04
jcrosby,28,184,2008-02-07
brianleroux,360,1743,2008-02-26
mattsgarrison,78,17,2010-08-12
stinie,138,51,2008-03-13
tentone,39,240,2014-10-11
Jungjaegu,20,9,2018-05-25
adkdev,5,27,2010-03-03
jbelsky,28,6,2015-01-29
InduprasadSR,11,345,2015-04-30
MichalPaszkiewicz,66,5384,2014-02-13
ilmalte,26,56,2016-03-05
beppu,41,128,2008-04-03
uokesita,64,178,2009-10-13
robbinhan,154,71,2010-04-12
dadaphl,18,37,2010-09-25
Zer0Root,3,157,2012-01-02
xalakox,22,28,2009-03-17
drybeans,63,16,2014-08-26
yatwql,61,7,2008-11-07
elango,73,43,2009-03-20
yepitschunked,55,36,2009-09-10
ivan,6,144,2008-04-03
aycanirican,55,77,2009-10-05
mohitmun,86,75,2012-03-25
ret,19,37,2008-11-09
rob4lderman,36,7,2013-12-02
mortdeus,91,101,2012-06-21
r-zig,9,0,2014-01-22
biomunky,51,23,2009-03-26
jonathanrico,29,24,2013-05-17
fabianhjr,12,75,2010-06-13
aviraldg,75,117,2010-04-07
rajeshvv,168,38,2012-03-07
gaolei,18,15,2008-09-28
teehemkay,12,21,2008-04-04
dryajov,203,178,2011-10-01
waibo,190,46,2012-01-03
sishen,57,675,2008-05-22
Boyquotes,163,60,2010-09-27
laurenrenaud,22,11,2016-01-09
rmatei,16,49,2009-01-24
standino,21,25,2008-04-07
coty,73,67,2008-02-27
jhaynie,112,375,2008-04-09
davidself,3,13,2009-12-01
brentmc79,20,55,2008-03-10
VinayMavani,2,17,2017-10-09
iamfredrickokereke,250,62,2018-04-12
twopack,9,30,2014-01-29
