login_id,repo_count,follower_count,member_since
erinata,85.0,93.0, 2010-12-23 
sco,32.0,513.0, 2008-02-16 
voodootikigod,125.0,660.0, 2008-02-19 
piclez,39.0,48.0, 2008-02-24 
brianleroux,360.0,1741.0, 2008-02-26 
coty,73.0,66.0, 2008-02-27 
clarkbw,82.0,391.0, 2008-03-04 
orlin,43.0,51.0, 2008-03-06 
jacques,386.0,90.0, 2008-03-07 
baron,24.0,41.0, 2008-03-09 
stinie,138.0,52.0, 2008-03-13 
thomd,105.0,25.0, 2008-03-18 
quinn,134.0,65.0, 2008-03-25 
jevon,2.0,40.0, 2008-04-02 
hlb,40.0,227.0, 2008-04-03 
eoin,4.0,86.0, 2008-04-03 
thekvn,23.0,39.0, 2008-04-07 
jhaynie,112.0,374.0, 2008-04-09 
wilsonminer,7.0,99.0, 2008-04-09 
asoltys,204.0,149.0, 2008-04-16 
collin,236.0,178.0, 2008-04-18 
fling,4.0,26.0, 2008-05-05 
peterpunk,4.0,47.0, 2008-05-08 
diclophis,106.0,120.0, 2008-05-13 
jaredhanson,408.0,3418.0, 2008-05-15 
rchk,9.0,33.0, 2008-05-16 
mlynch,122.0,1313.0, 2008-05-22 
grantmichaels,10.0,48.0, 2008-06-21 
frozzare,296.0,208.0, 2008-06-22 
johnantoni,535.0,118.0, 2008-06-30 
silentrob,112.0,316.0, 2008-07-04 
roy,35.0,15.0, 2008-03-04 
Wijnand,12.0,16.0, 2008-06-10 
arjan,239.0,168.0, 2008-09-15 
archan937,66.0,82.0, 2009-02-08 
bulters,75.0,13.0, 2009-02-23 
michaelkoper,38.0,23.0, 2009-05-17 
sajoku,99.0,17.0, 2010-09-07 
chrisobdam,4.0,6.0, 2011-02-24 
pomazanbohdan,11.0,6.0, 2011-03-29 
evinw,8.0,1398.0, 2011-06-11 
jameskyokushin,30.0,19.0, 2011-08-04 
ssleptsov,29.0,100.0, 2011-12-03 
innomarkglobal,0.0,14.0, 2012-10-10 
grdw,6.0,21.0, 2012-10-29 
ayeminag,28.0,27.0, 2012-10-30 
KevinHock,39.0,4695.0, 2012-12-19 
Frenchcooc,21.0,47.0, 2013-01-13 
cusspvz,159.0,7743.0, 2013-02-15 
